base_name,Point_Proximity_Percentage
ground_260_gt.ply,76.953125
ground_125_gt.ply,87.3046875
ground_1364_gt.ply,63.4765625
ground_598_gt.ply,75.244140625
ground_1098_gt.ply,78.22265625
ground_641_gt.ply,77.197265625
ground_1270_gt.ply,74.8046875
ground_911_gt.ply,61.1328125
ground_823_gt.ply,64.16015625
ground_530_gt.ply,82.666015625
ground_906_gt.ply,49.609375
ground_1112_gt.ply,97.607421875
ground_593_gt.ply,67.919921875
ground_155_gt.ply,77.392578125
ground_1077_gt.ply,94.04296875
ground_1145_gt.ply,72.36328125
ground_158_gt.ply,86.572265625
ground_624_gt.ply,80.76171875
ground_746_gt.ply,95.01953125
ground_228_gt.ply,77.685546875
ground_1223_gt.ply,92.578125
ground_366_gt.ply,80.76171875
ground_1251_gt.ply,70.60546875
ground_477_gt.ply,88.57421875
ground_900_gt.ply,77.099609375
ground_980_gt.ply,75.634765625
ground_69_gt.ply,80.95703125
ground_1291_gt.ply,79.248046875
ground_1034_gt.ply,96.826171875
ground_856_gt.ply,83.837890625
ground_669_gt.ply,75.78125
ground_509_gt.ply,73.486328125
ground_1065_gt.ply,96.826171875
ground_320_gt.ply,85.64453125
ground_502_gt.ply,74.31640625
ground_367_gt.ply,82.958984375
ground_601_gt.ply,78.271484375
ground_715_gt.ply,96.630859375
ground_629_gt.ply,81.34765625
ground_1011_gt.ply,98.095703125
ground_1357_gt.ply,66.259765625
ground_316_gt.ply,80.6640625
ground_178_gt.ply,79.736328125
ground_873_gt.ply,49.8046875
ground_970_gt.ply,97.75390625
ground_1215_gt.ply,70.5078125
ground_420_gt.ply,84.521484375
ground_36_gt.ply,82.177734375
ground_415_gt.ply,64.111328125
ground_34_gt.ply,86.083984375
ground_1021_gt.ply,88.818359375
ground_40_gt.ply,77.63671875
ground_151_gt.ply,85.986328125
ground_1280_gt.ply,97.509765625
ground_1116_gt.ply,96.19140625
ground_626_gt.ply,83.056640625
ground_681_gt.ply,98.046875
ground_1168_gt.ply,83.3984375
ground_640_gt.ply,83.69140625
ground_1086_gt.ply,98.4375
ground_1091_gt.ply,80.859375
ground_95_gt.ply,82.71484375
ground_839_gt.ply,63.427734375
ground_1063_gt.ply,92.529296875
ground_854_gt.ply,65.72265625
ground_971_gt.ply,81.591796875
ground_1359_gt.ply,66.9921875
ground_1332_gt.ply,78.076171875
ground_782_gt.ply,60.888671875
ground_1027_gt.ply,71.6796875
ground_775_gt.ply,93.359375
ground_1052_gt.ply,39.0625
ground_266_gt.ply,84.47265625
ground_723_gt.ply,96.2890625
ground_321_gt.ply,77.1484375
ground_1163_gt.ply,69.3359375
ground_1046_gt.ply,78.125
ground_634_gt.ply,80.615234375
ground_1114_gt.ply,98.92578125
ground_571_gt.ply,77.63671875
ground_16_gt.ply,82.6171875
ground_145_gt.ply,86.42578125
ground_596_gt.ply,83.69140625
ground_1286_gt.ply,81.396484375
ground_23_gt.ply,80.37109375
ground_484_gt.ply,83.49609375
ground_833_gt.ply,75.634765625
ground_1420_gt.ply,66.69921875
ground_798_gt.ply,96.240234375
ground_656_gt.ply,80.322265625
ground_992_gt.ply,98.14453125
ground_373_gt.ply,87.3046875
ground_1150_gt.ply,92.138671875
ground_486_gt.ply,76.5625
ground_436_gt.ply,78.41796875
ground_433_gt.ply,84.66796875
ground_1001_gt.ply,80.419921875
ground_1246_gt.ply,59.1796875
ground_1322_gt.ply,76.171875
ground_435_gt.ply,87.548828125
ground_936_gt.ply,45.80078125
ground_196_gt.ply,83.7890625
ground_334_gt.ply,79.78515625
ground_1366_gt.ply,81.591796875
ground_608_gt.ply,75.439453125
ground_518_gt.ply,72.65625
ground_950_gt.ply,74.51171875
ground_143_gt.ply,83.447265625
ground_1174_gt.ply,61.23046875
ground_697_gt.ply,84.765625
ground_209_gt.ply,82.51953125
ground_712_gt.ply,90.283203125
ground_185_gt.ply,81.93359375
ground_126_gt.ply,75.390625
ground_140_gt.ply,75.537109375
ground_607_gt.ply,71.484375
ground_10_gt.ply,78.271484375
ground_237_gt.ply,57.421875
ground_594_gt.ply,73.779296875
ground_784_gt.ply,97.8515625
ground_1205_gt.ply,81.25
ground_638_gt.ply,77.24609375
ground_1340_gt.ply,75.29296875
ground_1297_gt.ply,80.712890625
ground_179_gt.ply,81.591796875
ground_915_gt.ply,56.54296875
ground_806_gt.ply,71.77734375
ground_1032_gt.ply,82.666015625
ground_953_gt.ply,57.958984375
ground_370_gt.ply,88.623046875
ground_986_gt.ply,76.904296875
ground_652_gt.ply,68.896484375
ground_1294_gt.ply,74.267578125
ground_1157_gt.ply,73.193359375
ground_630_gt.ply,74.90234375
ground_398_gt.ply,59.5703125
ground_1292_gt.ply,74.12109375
ground_942_gt.ply,45.99609375
ground_1184_gt.ply,92.578125
ground_220_gt.ply,79.6875
ground_1427_gt.ply,80.37109375
ground_599_gt.ply,81.005859375
ground_1324_gt.ply,73.193359375
ground_1094_gt.ply,94.873046875
ground_1134_gt.ply,76.708984375
ground_1122_gt.ply,98.388671875
ground_1283_gt.ply,61.767578125
ground_1405_gt.ply,85.791015625
ground_505_gt.ply,72.55859375
ground_708_gt.ply,86.181640625
ground_1181_gt.ply,67.138671875
ground_422_gt.ply,80.810546875
ground_443_gt.ply,86.083984375
ground_1393_gt.ply,73.388671875
ground_930_gt.ply,61.376953125
ground_1100_gt.ply,67.96875
ground_1415_gt.ply,73.6328125
ground_1093_gt.ply,95.5078125
ground_975_gt.ply,98.14453125
ground_303_gt.ply,83.935546875
ground_1050_gt.ply,81.884765625
ground_943_gt.ply,49.609375
ground_52_gt.ply,81.103515625
ground_765_gt.ply,53.41796875
ground_226_gt.ply,73.92578125
ground_358_gt.ply,87.353515625
ground_670_gt.ply,91.357421875
ground_575_gt.ply,81.689453125
ground_324_gt.ply,79.248046875
ground_1390_gt.ply,81.54296875
ground_578_gt.ply,72.4609375
ground_1108_gt.ply,74.560546875
ground_840_gt.ply,69.3359375
ground_894_gt.ply,66.455078125
ground_1273_gt.ply,65.283203125
ground_1179_gt.ply,42.87109375
ground_131_gt.ply,85.888671875
ground_43_gt.ply,82.91015625
ground_1173_gt.ply,86.865234375
ground_387_gt.ply,88.57421875
ground_1271_gt.ply,64.990234375
ground_1020_gt.ply,85.107421875
ground_916_gt.ply,60.302734375
ground_722_gt.ply,90.087890625
ground_540_gt.ply,83.447265625
ground_1435_gt.ply,74.658203125
ground_604_gt.ply,76.26953125
ground_847_gt.ply,45.166015625
ground_406_gt.ply,82.8125
ground_315_gt.ply,80.859375
ground_1103_gt.ply,96.6796875
ground_1072_gt.ply,69.7265625
ground_459_gt.ply,73.4375
ground_974_gt.ply,87.548828125
ground_620_gt.ply,80.6640625
ground_817_gt.ply,68.310546875
ground_928_gt.ply,41.796875
ground_1087_gt.ply,97.265625
ground_1342_gt.ply,64.306640625
ground_313_gt.ply,81.4453125
ground_568_gt.ply,75.78125
ground_691_gt.ply,95.361328125
ground_759_gt.ply,85.107421875
ground_1425_gt.ply,68.9453125
ground_1238_gt.ply,71.6796875
ground_1012_gt.ply,88.96484375
ground_745_gt.ply,96.38671875
ground_844_gt.ply,39.404296875
ground_982_gt.ply,76.025390625
ground_709_gt.ply,93.310546875
ground_1141_gt.ply,97.314453125
ground_210_gt.ply,83.10546875
ground_999_gt.ply,85.888671875
ground_349_gt.ply,83.154296875
ground_289_gt.ply,71.97265625
ground_1111_gt.ply,85.3515625
ground_170_gt.ply,77.9296875
ground_1253_gt.ply,54.00390625
ground_625_gt.ply,76.46484375
ground_600_gt.ply,79.345703125
ground_368_gt.ply,81.787109375
ground_717_gt.ply,98.681640625
ground_842_gt.ply,71.09375
ground_1048_gt.ply,94.482421875
ground_44_gt.ply,89.404296875
ground_62_gt.ply,84.521484375
ground_565_gt.ply,80.6640625
ground_103_gt.ply,60.595703125
ground_1216_gt.ply,74.12109375
ground_483_gt.ply,83.935546875
ground_165_gt.ply,86.23046875
ground_499_gt.ply,79.4921875
ground_211_gt.ply,79.39453125
ground_1056_gt.ply,86.62109375
ground_124_gt.ply,66.50390625
ground_263_gt.ply,79.8828125
ground_28_gt.ply,71.435546875
ground_56_gt.ply,84.814453125
ground_1060_gt.ply,98.33984375
ground_1382_gt.ply,76.953125
ground_796_gt.ply,86.474609375
ground_249_gt.ply,77.880859375
ground_865_gt.ply,62.3046875
ground_834_gt.ply,25.87890625
ground_1388_gt.ply,79.248046875
ground_327_gt.ply,81.982421875
ground_1432_gt.ply,77.197265625
ground_1406_gt.ply,78.80859375
ground_1376_gt.ply,81.25
ground_278_gt.ply,77.783203125
ground_1186_gt.ply,71.533203125
ground_662_gt.ply,97.65625
ground_610_gt.ply,83.447265625
ground_1214_gt.ply,41.845703125
ground_1187_gt.ply,69.43359375
ground_741_gt.ply,75.390625
ground_275_gt.ply,80.17578125
ground_343_gt.ply,83.056640625
ground_445_gt.ply,85.205078125
ground_673_gt.ply,46.6796875
ground_376_gt.ply,83.251953125
ground_830_gt.ply,74.0234375
ground_1079_gt.ply,86.1328125
ground_756_gt.ply,86.279296875
ground_47_gt.ply,84.47265625
ground_1445_gt.ply,73.4375
ground_981_gt.ply,96.240234375
ground_1350_gt.ply,64.111328125
ground_501_gt.ply,74.90234375
ground_1421_gt.ply,86.279296875
ground_1101_gt.ply,90.625
ground_1229_gt.ply,77.001953125
ground_374_gt.ply,77.099609375
ground_440_gt.ply,77.24609375
ground_60_gt.ply,78.515625
ground_699_gt.ply,86.1328125
ground_287_gt.ply,84.86328125
ground_322_gt.ply,87.01171875
ground_1352_gt.ply,71.923828125
ground_675_gt.ply,94.921875
ground_534_gt.ply,74.12109375
ground_286_gt.ply,64.013671875
ground_93_gt.ply,85.3515625
ground_0_gt.ply,78.125
ground_1016_gt.ply,87.158203125
ground_1318_gt.ply,79.6875
ground_467_gt.ply,85.107421875
ground_589_gt.ply,80.517578125
ground_439_gt.ply,73.193359375
ground_1234_gt.ply,84.86328125
ground_1426_gt.ply,78.41796875
ground_1339_gt.ply,80.908203125
ground_144_gt.ply,84.47265625
ground_1409_gt.ply,76.171875
ground_279_gt.ply,75.146484375
ground_902_gt.ply,47.900390625
ground_777_gt.ply,78.369140625
ground_1039_gt.ply,93.701171875
ground_1088_gt.ply,93.310546875
ground_277_gt.ply,88.37890625
ground_105_gt.ply,80.2734375
ground_883_gt.ply,30.17578125
ground_294_gt.ply,83.837890625
ground_835_gt.ply,62.060546875
ground_582_gt.ply,69.82421875
ground_1424_gt.ply,75.09765625
ground_947_gt.ply,66.9921875
ground_935_gt.ply,67.7734375
ground_70_gt.ply,84.765625
ground_83_gt.ply,80.37109375
ground_1353_gt.ply,77.24609375
ground_288_gt.ply,81.4453125
ground_1009_gt.ply,77.490234375
ground_957_gt.ply,72.94921875
ground_645_gt.ply,78.3203125
ground_828_gt.ply,60.3515625
ground_755_gt.ply,96.58203125
ground_617_gt.ply,71.6796875
ground_1010_gt.ply,97.021484375
ground_1022_gt.ply,77.587890625
ground_1266_gt.ply,77.001953125
ground_836_gt.ply,60.791015625
ground_273_gt.ply,82.080078125
ground_1401_gt.ply,82.71484375
ground_394_gt.ply,83.544921875
ground_96_gt.ply,79.19921875
ground_678_gt.ply,95.80078125
ground_1284_gt.ply,82.373046875
ground_614_gt.ply,77.587890625
ground_337_gt.ply,76.708984375
ground_1434_gt.ply,79.052734375
ground_813_gt.ply,21.2890625
ground_152_gt.ply,86.81640625
ground_1310_gt.ply,80.517578125
ground_1176_gt.ply,79.00390625
ground_455_gt.ply,84.619140625
ground_615_gt.ply,72.412109375
ground_740_gt.ply,100.0
ground_39_gt.ply,75.732421875
ground_496_gt.ply,71.77734375
ground_793_gt.ply,97.94921875
ground_907_gt.ply,71.97265625
ground_795_gt.ply,90.72265625
ground_1120_gt.ply,98.046875
ground_1017_gt.ply,66.11328125
ground_375_gt.ply,87.20703125
ground_234_gt.ply,80.76171875
ground_1031_gt.ply,45.458984375
ground_1167_gt.ply,97.75390625
ground_2_gt.ply,80.322265625
ground_15_gt.ply,72.94921875
ground_742_gt.ply,96.240234375
ground_310_gt.ply,79.19921875
ground_707_gt.ply,95.068359375
ground_621_gt.ply,79.19921875
ground_426_gt.ply,86.5234375
ground_1210_gt.ply,73.291015625
ground_890_gt.ply,59.375
ground_1277_gt.ply,77.05078125
ground_458_gt.ply,87.3046875
ground_276_gt.ply,77.978515625
ground_326_gt.ply,84.1796875
ground_790_gt.ply,90.33203125
ground_448_gt.ply,61.03515625
ground_692_gt.ply,89.16015625
ground_912_gt.ply,74.560546875
ground_407_gt.ply,87.109375
ground_789_gt.ply,92.919921875
ground_339_gt.ply,76.513671875
ground_1104_gt.ply,89.599609375
ground_1224_gt.ply,73.73046875
ground_1219_gt.ply,79.00390625
ground_1287_gt.ply,79.39453125
ground_1410_gt.ply,78.955078125
ground_319_gt.ply,79.8828125
ground_1014_gt.ply,61.9140625
ground_556_gt.ply,84.033203125
ground_35_gt.ply,82.6171875
ground_180_gt.ply,55.517578125
ground_785_gt.ply,76.07421875
ground_809_gt.ply,50.439453125
ground_528_gt.ply,75.146484375
ground_852_gt.ply,56.640625
ground_1208_gt.ply,73.828125
ground_312_gt.ply,87.353515625
ground_108_gt.ply,82.12890625
ground_536_gt.ply,78.466796875
ground_732_gt.ply,83.740234375
ground_268_gt.ply,81.787109375
ground_1263_gt.ply,98.046875
ground_1078_gt.ply,85.9375
ground_38_gt.ply,80.224609375
ground_985_gt.ply,90.478515625
ground_134_gt.ply,84.1796875
ground_531_gt.ply,74.609375
ground_521_gt.ply,78.02734375
ground_1321_gt.ply,80.859375
ground_1305_gt.ply,77.783203125
ground_516_gt.ply,79.98046875
ground_473_gt.ply,81.005859375
ground_814_gt.ply,73.779296875
ground_1258_gt.ply,15.673828125
ground_1419_gt.ply,83.544921875
ground_163_gt.ply,63.916015625
ground_535_gt.ply,74.90234375
ground_632_gt.ply,68.505859375
ground_57_gt.ply,83.544921875
ground_29_gt.ply,81.982421875
ground_533_gt.ply,74.560546875
ground_1083_gt.ply,85.498046875
ground_1019_gt.ply,87.98828125
ground_1106_gt.ply,87.98828125
ground_201_gt.ply,76.025390625
ground_802_gt.ply,65.771484375
ground_89_gt.ply,68.45703125
ground_1018_gt.ply,80.712890625
ground_148_gt.ply,80.224609375
ground_393_gt.ply,87.548828125
ground_478_gt.ply,79.150390625
ground_1188_gt.ply,65.33203125
ground_416_gt.ply,86.9140625
ground_1058_gt.ply,67.724609375
ground_513_gt.ply,75.537109375
ground_479_gt.ply,86.1328125
ground_491_gt.ply,78.90625
ground_820_gt.ply,71.044921875
ground_341_gt.ply,84.228515625
ground_643_gt.ply,62.158203125
ground_1358_gt.ply,68.896484375
ground_1436_gt.ply,77.099609375
ground_687_gt.ply,86.9140625
ground_904_gt.ply,61.81640625
ground_1161_gt.ply,72.55859375
ground_539_gt.ply,82.861328125
ground_871_gt.ply,75.244140625
ground_264_gt.ply,76.904296875
ground_1374_gt.ply,76.953125
ground_285_gt.ply,78.80859375
ground_474_gt.ply,82.12890625
ground_1169_gt.ply,59.08203125
ground_1308_gt.ply,77.1484375
ground_557_gt.ply,79.1015625
ground_815_gt.ply,58.837890625
ground_425_gt.ply,85.888671875
ground_572_gt.ply,70.8984375
ground_498_gt.ply,80.029296875
ground_1191_gt.ply,76.3671875
ground_22_gt.ply,84.619140625
ground_569_gt.ply,81.103515625
ground_380_gt.ply,80.224609375
ground_207_gt.ply,80.37109375
ground_995_gt.ply,76.708984375
ground_261_gt.ply,76.85546875
ground_223_gt.ply,80.126953125
ground_1158_gt.ply,86.572265625
ground_653_gt.ply,84.912109375
ground_1444_gt.ply,78.271484375
ground_68_gt.ply,79.296875
ground_468_gt.ply,77.392578125
ground_405_gt.ply,86.279296875
ground_786_gt.ply,87.01171875
ground_308_gt.ply,83.447265625
ground_1129_gt.ply,83.7890625
ground_1274_gt.ply,98.828125
ground_434_gt.ply,75.78125
ground_9_gt.ply,79.6875
ground_1360_gt.ply,82.763671875
ground_1302_gt.ply,80.419921875
ground_872_gt.ply,62.40234375
ground_781_gt.ply,65.33203125
ground_551_gt.ply,77.63671875
ground_1245_gt.ply,85.25390625
ground_602_gt.ply,79.052734375
ground_1089_gt.ply,89.599609375
ground_1081_gt.ply,91.748046875
ground_402_gt.ply,86.572265625
ground_271_gt.ply,77.197265625
ground_1369_gt.ply,83.837890625
ground_1225_gt.ply,85.9375
ground_1220_gt.ply,52.587890625
ground_1107_gt.ply,98.2421875
ground_438_gt.ply,78.3203125
ground_1035_gt.ply,79.541015625
ground_891_gt.ply,45.1171875
ground_583_gt.ply,79.8828125
ground_351_gt.ply,67.578125
ground_677_gt.ply,89.599609375
ground_633_gt.ply,84.47265625
ground_102_gt.ply,78.90625
ground_803_gt.ply,55.46875
ground_488_gt.ply,79.39453125
ground_88_gt.ply,82.03125
ground_882_gt.ply,31.54296875
ground_918_gt.ply,65.0390625
ground_1257_gt.ply,66.6015625
ground_241_gt.ply,64.794921875
ground_1272_gt.ply,96.77734375
ground_86_gt.ply,82.51953125
ground_265_gt.ply,62.98828125
ground_731_gt.ply,77.5390625
ground_199_gt.ply,86.03515625
ground_1392_gt.ply,76.07421875
ground_580_gt.ply,75.439453125
ground_198_gt.ply,78.90625
ground_555_gt.ply,73.2421875
ground_1076_gt.ply,89.599609375
ground_688_gt.ply,81.73828125
ground_622_gt.ply,82.8125
ground_884_gt.ply,53.076171875
ground_821_gt.ply,35.791015625
ground_1130_gt.ply,98.828125
ground_1368_gt.ply,83.837890625
ground_1242_gt.ply,87.939453125
ground_1226_gt.ply,43.65234375
ground_1080_gt.ply,88.818359375
ground_1156_gt.ply,74.21875
ground_1278_gt.ply,47.94921875
ground_764_gt.ply,87.5
ground_90_gt.ply,79.541015625
ground_508_gt.ply,77.587890625
ground_80_gt.ply,79.541015625
ground_597_gt.ply,81.787109375
ground_857_gt.ply,54.39453125
ground_1247_gt.ply,68.798828125
ground_1351_gt.ply,75.244140625
ground_132_gt.ply,84.5703125
ground_449_gt.ply,84.47265625
ground_454_gt.ply,88.427734375
ground_1373_gt.ply,78.173828125
ground_146_gt.ply,82.177734375
ground_1071_gt.ply,83.49609375
ground_354_gt.ply,85.498046875
ground_807_gt.ply,53.41796875
ground_752_gt.ply,52.9296875
ground_161_gt.ply,84.1796875
ground_738_gt.ply,94.921875
ground_892_gt.ply,66.30859375
ground_545_gt.ply,77.294921875
ground_49_gt.ply,83.10546875
ground_695_gt.ply,97.65625
ground_1315_gt.ply,75.732421875
ground_1124_gt.ply,88.330078125
ground_442_gt.ply,82.470703125
ground_1239_gt.ply,82.080078125
ground_390_gt.ply,86.03515625
ground_469_gt.ply,87.79296875
ground_5_gt.ply,82.568359375
ground_590_gt.ply,79.58984375
ground_933_gt.ply,65.91796875
ground_82_gt.ply,82.861328125
ground_411_gt.ply,80.2734375
ground_1206_gt.ply,84.912109375
ground_1059_gt.ply,76.904296875
ground_876_gt.ply,52.001953125
ground_113_gt.ply,82.2265625
ground_541_gt.ply,73.33984375
ground_1099_gt.ply,82.03125
ground_958_gt.ply,75.634765625
ground_410_gt.ply,84.033203125
ground_1276_gt.ply,68.017578125
ground_1361_gt.ply,79.98046875
ground_721_gt.ply,95.947265625
ground_1281_gt.ply,78.515625
ground_1196_gt.ply,79.248046875
ground_960_gt.ply,66.69921875
ground_1147_gt.ply,74.365234375
ground_1054_gt.ply,50.830078125
ground_175_gt.ply,84.765625
ground_378_gt.ply,86.474609375
ground_166_gt.ply,86.5234375
ground_290_gt.ply,79.931640625
ground_990_gt.ply,92.431640625
ground_1030_gt.ply,73.486328125
ground_26_gt.ply,85.595703125
ground_431_gt.ply,81.201171875
ground_306_gt.ply,82.470703125
ground_397_gt.ply,83.10546875
ground_350_gt.ply,83.7890625
ground_177_gt.ply,62.98828125
ground_428_gt.ply,82.71484375
ground_419_gt.ply,74.560546875
ground_1394_gt.ply,80.56640625
ground_1243_gt.ply,81.93359375
ground_77_gt.ply,78.662109375
ground_845_gt.ply,52.197265625
ground_37_gt.ply,87.646484375
ground_747_gt.ply,95.263671875
ground_181_gt.ply,83.69140625
ground_400_gt.ply,86.279296875
ground_1133_gt.ply,51.7578125
ground_463_gt.ply,83.837890625
ground_1385_gt.ply,68.603515625
ground_1146_gt.ply,77.5390625
ground_636_gt.ply,80.810546875
ground_272_gt.ply,76.66015625
ground_778_gt.ply,95.263671875
ground_1057_gt.ply,83.837890625
ground_1414_gt.ply,82.568359375
ground_1149_gt.ply,97.314453125
ground_661_gt.ply,59.814453125
ground_336_gt.ply,80.6640625
ground_792_gt.ply,93.798828125
ground_106_gt.ply,82.275390625
ground_159_gt.ply,82.91015625
ground_1299_gt.ply,79.1015625
ground_743_gt.ply,82.958984375
ground_729_gt.ply,90.72265625
ground_1235_gt.ply,72.998046875
ground_1159_gt.ply,84.765625
ground_254_gt.ply,81.103515625
ground_1037_gt.ply,97.94921875
ground_72_gt.ply,85.400390625
ground_581_gt.ply,77.001953125
ground_115_gt.ply,78.41796875
ground_444_gt.ply,83.0078125
ground_1036_gt.ply,82.71484375
ground_783_gt.ply,81.591796875
ground_573_gt.ply,66.11328125
ground_627_gt.ply,75.1953125
ground_1347_gt.ply,77.734375
ground_606_gt.ply,75.830078125
ground_1075_gt.ply,80.810546875
ground_1311_gt.ply,80.810546875
ground_1335_gt.ply,72.900390625
ground_595_gt.ply,72.998046875
ground_361_gt.ply,82.470703125
ground_978_gt.ply,86.181640625
ground_991_gt.ply,60.7421875
ground_941_gt.ply,55.078125
ground_383_gt.ply,88.720703125
ground_1327_gt.ply,85.83984375
ground_1221_gt.ply,72.4609375
ground_514_gt.ply,81.787109375
ground_192_gt.ply,79.345703125
ground_325_gt.ply,73.974609375
ground_938_gt.ply,64.6484375
ground_1085_gt.ply,85.009765625
ground_232_gt.ply,82.763671875
ground_112_gt.ply,82.275390625
ground_217_gt.ply,82.12890625
ground_1429_gt.ply,81.689453125
ground_1066_gt.ply,92.041015625
ground_1118_gt.ply,98.974609375
ground_659_gt.ply,87.744140625
ground_1139_gt.ply,73.14453125
ground_1407_gt.ply,78.076171875
ground_492_gt.ply,81.591796875
ground_1042_gt.ply,91.11328125
ground_1430_gt.ply,81.494140625
ground_1250_gt.ply,81.396484375
ground_1153_gt.ply,85.009765625
ground_1127_gt.ply,97.265625
ground_186_gt.ply,74.560546875
ground_1165_gt.ply,80.37109375
ground_147_gt.ply,86.9140625
ground_870_gt.ply,53.857421875
ground_955_gt.ply,63.525390625
ground_1033_gt.ply,96.484375
ground_48_gt.ply,81.005859375
ground_1029_gt.ply,85.888671875
ground_257_gt.ply,82.32421875
ground_989_gt.ply,98.6328125
ground_685_gt.ply,92.333984375
ground_779_gt.ply,75.29296875
ground_503_gt.ply,80.126953125
ground_1043_gt.ply,79.296875
ground_1341_gt.ply,79.248046875
ground_714_gt.ply,98.2421875
ground_860_gt.ply,61.81640625
ground_118_gt.ply,82.763671875
ground_888_gt.ply,66.69921875
ground_968_gt.ply,85.546875
ground_256_gt.ply,75.146484375
ground_1408_gt.ply,77.978515625
ground_53_gt.ply,83.10546875
ground_392_gt.ply,76.123046875
ground_768_gt.ply,94.775390625
ground_952_gt.ply,68.5546875
ground_780_gt.ply,96.728515625
ground_637_gt.ply,80.2734375
ground_811_gt.ply,69.091796875
ground_1333_gt.ply,77.490234375
ground_1152_gt.ply,98.193359375
ground_1096_gt.ply,85.05859375
ground_592_gt.ply,74.21875
ground_512_gt.ply,76.123046875
ground_863_gt.ply,63.18359375
ground_910_gt.ply,68.9453125
ground_17_gt.ply,81.34765625
ground_733_gt.ply,80.56640625
ground_1377_gt.ply,82.177734375
ground_1062_gt.ply,89.84375
ground_794_gt.ply,76.5625
ground_1155_gt.ply,61.572265625
ground_548_gt.ply,75.9765625
ground_332_gt.ply,82.71484375
ground_1331_gt.ply,80.322265625
ground_423_gt.ply,75.830078125
ground_843_gt.ply,73.92578125
ground_153_gt.ply,80.615234375
ground_136_gt.ply,66.748046875
ground_1418_gt.ply,70.458984375
ground_1231_gt.ply,67.28515625
ground_379_gt.ply,86.23046875
ground_619_gt.ply,81.8359375
ground_391_gt.ply,86.669921875
ground_537_gt.ply,84.765625
ground_886_gt.ply,52.880859375
ground_1309_gt.ply,74.853515625
ground_344_gt.ply,85.498046875
ground_1185_gt.ply,57.275390625
ground_359_gt.ply,84.47265625
ground_1295_gt.ply,79.443359375
ground_1317_gt.ply,79.8828125
ground_471_gt.ply,83.30078125
ground_519_gt.ply,80.029296875
ground_560_gt.ply,77.880859375
ground_1172_gt.ply,85.3515625
ground_1026_gt.ply,97.265625
ground_553_gt.ply,81.982421875
ground_382_gt.ply,75.87890625
ground_510_gt.ply,79.1015625
ground_1217_gt.ply,65.673828125
ground_481_gt.ply,82.6171875
ground_427_gt.ply,70.60546875
ground_841_gt.ply,61.42578125
ground_1074_gt.ply,92.724609375
ground_66_gt.ply,81.73828125
ground_869_gt.ply,50.9765625
ground_1403_gt.ply,75.29296875
ground_917_gt.ply,76.5625
ground_1162_gt.ply,78.02734375
ground_1028_gt.ply,67.48046875
ground_788_gt.ply,67.96875
ground_1113_gt.ply,98.4375
ground_965_gt.ply,81.0546875
ground_893_gt.ply,68.1640625
ground_719_gt.ply,94.970703125
ground_895_gt.ply,57.177734375
ground_1365_gt.ply,79.736328125
