base_name,percentage_within_threshold
ground_ground_515_gt.ply,0.0
ground_ground_237_gt.ply,0.0
ground_ground_493_gt.ply,0.0
ground_ground_443_gt.ply,0.0
ground_ground_667_gt.ply,0.0
ground_ground_724_gt.ply,0.0
ground_ground_139_gt.ply,0.0
ground_ground_116_gt.ply,0.0
ground_ground_117_gt.ply,0.0
ground_ground_803_gt.ply,0.0
ground_ground_700_gt.ply,0.0
ground_ground_719_gt.ply,0.0
ground_ground_409_gt.ply,0.0
ground_ground_413_gt.ply,0.0
ground_ground_578_gt.ply,0.0
ground_ground_354_gt.ply,0.0
ground_ground_119_gt.ply,0.0
ground_ground_783_gt.ply,0.0
ground_ground_610_gt.ply,0.0
ground_ground_271_gt.ply,0.0
ground_ground_190_gt.ply,0.0
ground_ground_234_gt.ply,0.0
ground_ground_513_gt.ply,0.0
ground_ground_525_gt.ply,0.0
ground_ground_536_gt.ply,0.0
ground_ground_675_gt.ply,0.0
ground_ground_22_gt.ply,0.0
ground_ground_181_gt.ply,0.0
ground_ground_674_gt.ply,0.0
ground_ground_152_gt.ply,0.0
ground_ground_412_gt.ply,0.0
ground_ground_214_gt.ply,0.0
ground_ground_781_gt.ply,0.0
ground_ground_267_gt.ply,0.0
ground_ground_300_gt.ply,0.0
ground_ground_329_gt.ply,0.0
ground_ground_401_gt.ply,0.0
ground_ground_677_gt.ply,0.0
ground_ground_396_gt.ply,0.0
ground_ground_434_gt.ply,0.0
ground_ground_632_gt.ply,0.0
ground_ground_403_gt.ply,0.0
ground_ground_805_gt.ply,0.0
ground_ground_613_gt.ply,0.0
ground_ground_90_gt.ply,0.0
ground_ground_477_gt.ply,0.0
ground_ground_739_gt.ply,0.0
ground_ground_192_gt.ply,0.0
ground_ground_148_gt.ply,0.0
ground_ground_184_gt.ply,0.0
ground_ground_112_gt.ply,0.0
ground_ground_259_gt.ply,0.0
ground_ground_257_gt.ply,0.0
ground_ground_312_gt.ply,0.0
ground_ground_393_gt.ply,0.0
ground_ground_207_gt.ply,0.0
ground_ground_202_gt.ply,0.0
ground_ground_252_gt.ply,0.0
ground_ground_41_gt.ply,0.0
ground_ground_242_gt.ply,0.0
ground_ground_295_gt.ply,0.0
ground_ground_420_gt.ply,0.0
ground_ground_164_gt.ply,0.0
ground_ground_104_gt.ply,0.0
ground_ground_526_gt.ply,0.0
ground_ground_798_gt.ply,0.0
ground_ground_143_gt.ply,0.0
ground_ground_457_gt.ply,0.0
ground_ground_196_gt.ply,0.0
ground_ground_658_gt.ply,0.0
ground_ground_180_gt.ply,0.0
ground_ground_326_gt.ply,0.0
ground_ground_118_gt.ply,0.0
ground_ground_124_gt.ply,0.0
ground_ground_327_gt.ply,0.0
