base_name,EMD_Distance
ground_nofloor_561_gt.ply,0.31977393582072955
ground_nofloor_353_gt.ply,0.19980003671679836
ground_nofloor_402_gt.ply,0.2723054988616787
ground_nofloor_253_gt.ply,0.23238354050811558
ground_nofloor_502_gt.ply,0.24133273531114205
ground_nofloor_199_gt.ply,0.267434564852083
ground_81_gt.ply,0.18237413243966577
ground_262_gt.ply,0.18668089211536992
ground_nofloor_86_gt.ply,0.21508406967568397
ground_533_gt.ply,0.13974216567518322
ground_784_gt.ply,0.14357997594737415
ground_362_gt.ply,0.15324315572418826
ground_433_gt.ply,0.1491185604889485
ground_684_gt.ply,0.16248917229312174
ground_566_gt.ply,0.1411761531110555
ground_237_gt.ply,0.1477605610790364
ground_466_gt.ply,0.18505399293425856
ground_337_gt.ply,0.18347058687058448
ground_180_gt.ply,0.1401681250488591
ground_nofloor_457_gt.ply,0.14895557168105436
ground_nofloor_306_gt.ply,0.20762499239333923
ground_nofloor_557_gt.ply,0.330504381619126
ground_nofloor_206_gt.ply,0.17003764388270493
ground_578_gt.ply,0.16808400925817216
ground_229_gt.ply,0.17569467647341008
ground_478_gt.ply,0.13860644868726468
ground_329_gt.ply,0.1287715747370285
ground_nofloor_4_gt.ply,0.30197688656282656
ground_nofloor_434_gt.ply,0.14486954524496867
ground_nofloor_365_gt.ply,0.1834721697561373
ground_nofloor_534_gt.ply,0.2495986523924046
ground_nofloor_265_gt.ply,0.20032057067475992
ground_505_gt.ply,0.1406943445090652
ground_254_gt.ply,0.15809468304456287
ground_405_gt.ply,0.12640165480829454
ground_354_gt.ply,0.14296497149106452
ground_nofloor_449_gt.ply,0.2567623594528018
ground_nofloor_318_gt.ply,0.23080810159216988
ground_nofloor_549_gt.ply,0.48282473294626693
ground_nofloor_218_gt.ply,0.25610441497937303
ground_nofloor_269_gt.ply,0.25123147081691
ground_nofloor_538_gt.ply,0.16981495723075327
ground_nofloor_8_gt.ply,0.6859992310636278
ground_nofloor_369_gt.ply,0.42170888102074977
ground_nofloor_438_gt.ply,0.16011090160277133
