base_name,Hausdorff_Distance
ground_100_gt.ply,0.20324628139421455
ground_651_gt.ply,0.15686650466484336
ground_54_gt.ply,0.2283156246120905
ground_nofloor_131_gt.ply,0.4950328232948646
ground_nofloor_386_gt.ply,0.6523101363311077
ground_29_gt.ply,0.1513036290036447
ground_nofloor_286_gt.ply,0.6076749600066211
ground_nofloor_351_gt.ply,0.5762186824715063
ground_nofloor_400_gt.ply,0.4112517972462254
ground_nofloor_251_gt.ply,0.8471394193143285
ground_nofloor_500_gt.ply,0.688029282423185
ground_nofloor_84_gt.ply,0.4389678298406029
ground_260_gt.ply,0.12842611155430392
ground_531_gt.ply,0.17069605746484337
ground_786_gt.ply,0.20713909236162803
ground_360_gt.ply,0.17328861984717764
ground_431_gt.ply,0.17006231993050935
ground_686_gt.ply,0.1604547634908053
ground_83_gt.ply,0.1618014206376365
ground_203_gt.ply,0.21280086112002203
ground_552_gt.ply,0.15023246169888235
ground_303_gt.ply,0.38724354142089606
ground_452_gt.ply,0.18245389077911733
ground_nofloor_185_gt.ply,0.44833070171562633
ground_nofloor_332_gt.ply,0.8838944731250225
ground_nofloor_463_gt.ply,0.48458507765472475
ground_nofloor_232_gt.ply,0.901709080410975
ground_nofloor_563_gt.ply,0.5552410326428475
ground_798_gt.ply,0.12868570054810125
ground_698_gt.ply,0.19636226911748497
ground_nofloor_512_gt.ply,0.5856156248093576
ground_nofloor_243_gt.ply,0.3374215211533306
ground_nofloor_412_gt.ply,0.4584736034990955
ground_nofloor_343_gt.ply,0.8568467775375627
ground_694_gt.ply,0.19683481314305618
ground_423_gt.ply,0.13795107985464145
ground_372_gt.ply,0.23339613758213468
ground_794_gt.ply,0.16023851986567156
ground_523_gt.ply,0.28732070080421535
ground_nofloor_96_gt.ply,0.35866273609893556
ground_272_gt.ply,0.1712406378529298
ground_91_gt.ply,0.21876297585571666
ground_nofloor_189_gt.ply,0.3458760193485541
ground_440_gt.ply,0.14522244295057382
ground_311_gt.ply,0.17081819517999083
ground_540_gt.ply,0.1972386297729717
ground_211_gt.ply,0.17774310316919734
ground_nofloor_571_gt.ply,1.1342643693603982
ground_nofloor_220_gt.ply,0.7206120512512619
ground_nofloor_471_gt.ply,0.4264319547393814
ground_nofloor_320_gt.ply,0.8208251937911294
ground_nofloor_197_gt.ply,0.6992381811004076
ground_nofloor_88_gt.ply,0.4356723617748734
ground_nofloor_275_gt.ply,0.40489326556160626
ground_nofloor_524_gt.ply,0.6565599014570167
ground_nofloor_375_gt.ply,0.6426734651252465
ground_nofloor_424_gt.ply,0.6010597093054237
ground_339_gt.ply,0.10796786365458187
ground_468_gt.ply,0.1747822307893651
ground_239_gt.ply,0.18185914074766696
ground_568_gt.ply,0.1656400882712127
ground_nofloor_208_gt.ply,0.7685735070533501
ground_nofloor_559_gt.ply,0.6631255847343486
ground_nofloor_308_gt.ply,0.6581270548531312
ground_nofloor_459_gt.ply,0.8097360501712738
ground_344_gt.ply,0.20210286776034248
ground_415_gt.ply,0.15730492804302643
ground_244_gt.ply,0.14359624642711707
