base_name,Fscore_GT_to_Completed,Fscore_Completed_to_GT
ground_448_gt.ply,35.511811023622045,49.468503937007874
ground_692_gt.ply,35.21653543307087,53.188976377952756
ground_407_gt.ply,36.732283464566926,52.047244094488185
ground_789_gt.ply,34.66535433070867,52.303149606299215
ground_339_gt.ply,35.019685039370074,49.251968503937
ground_319_gt.ply,35.64960629921259,58.87795275590552
ground_556_gt.ply,33.838582677165356,48.38582677165355
ground_35_gt.ply,36.33858267716535,55.748031496062985
ground_180_gt.ply,36.18110236220472,53.66141732283465
ground_785_gt.ply,34.44881889763779,51.181102362204726
ground_809_gt.ply,33.56299212598425,47.618110236220474
ground_528_gt.ply,34.11417322834645,52.814960629921245
ground_312_gt.ply,36.96850393700787,55.96456692913385
ground_108_gt.ply,36.16141732283465,49.862204724409445
ground_536_gt.ply,34.60629921259843,50.255905511811015
ground_732_gt.ply,35.688976377952756,50.11811023622048
ground_268_gt.ply,32.00787401574804,45.09842519685039
ground_38_gt.ply,33.661417322834644,47.874015748031496
ground_134_gt.ply,36.63385826771654,57.440944881889756
ground_531_gt.ply,35.70866141732284,47.814960629921266
ground_521_gt.ply,34.38976377952756,49.90157480314961
ground_516_gt.ply,34.80314960629921,53.54330708661416
ground_473_gt.ply,36.51574803149607,55.29527559055117
ground_163_gt.ply,35.275590551181104,49.13385826771653
ground_535_gt.ply,34.153543307086615,54.60629921259842
ground_632_gt.ply,28.838582677165352,37.89370078740158
ground_57_gt.ply,36.259842519685044,58.18897637795275
ground_29_gt.ply,37.65748031496064,54.3503937007874
ground_533_gt.ply,34.80314960629921,49.60629921259842
ground_201_gt.ply,33.503937007874015,44.1732283464567
ground_802_gt.ply,36.830708661417326,59.01574803149606
ground_89_gt.ply,33.1496062992126,42.53937007874016
ground_148_gt.ply,35.72834645669291,56.92913385826772
ground_393_gt.ply,36.79133858267716,51.69291338582678
ground_478_gt.ply,37.460629921259844,52.83464566929133
ground_416_gt.ply,36.02362204724409,48.326771653543304
ground_513_gt.ply,34.21259842519685,50.452755905511815
ground_479_gt.ply,37.16535433070866,55.33464566929134
ground_491_gt.ply,33.46456692913386,46.51574803149606
ground_341_gt.ply,37.303149606299215,58.779527559055126
ground_643_gt.ply,34.94094488188976,52.303149606299215
ground_687_gt.ply,35.41338582677166,53.46456692913386
ground_539_gt.ply,35.846456692913385,52.795275590551185
ground_264_gt.ply,35.275590551181104,56.39763779527559
ground_285_gt.ply,33.7007874015748,47.44094488188977
ground_474_gt.ply,34.82283464566929,51.73228346456693
ground_557_gt.ply,35.590551181102356,52.63779527559055
ground_425_gt.ply,37.10629921259843,51.41732283464566
ground_572_gt.ply,34.17322834645669,49.311023622047244
ground_498_gt.ply,35.17716535433071,54.19291338582677
ground_22_gt.ply,35.98425196850394,53.0511811023622
ground_569_gt.ply,33.24803149606299,46.8503937007874
ground_380_gt.ply,37.16535433070866,57.10629921259842
ground_207_gt.ply,36.673228346456696,62.00787401574803
ground_261_gt.ply,35.05905511811024,52.952755905511815
ground_223_gt.ply,34.488188976377955,51.161417322834644
ground_653_gt.ply,33.188976377952756,45.688976377952756
ground_68_gt.ply,33.11023622047244,43.72047244094488
ground_468_gt.ply,34.11417322834645,55.94488188976378
ground_405_gt.ply,37.145669291338585,51.653543307086615
ground_786_gt.ply,35.90551181102362,54.980314960629926
ground_308_gt.ply,34.724409448818896,49.803149606299215
ground_434_gt.ply,34.724409448818896,44.153543307086615
ground_9_gt.ply,36.53543307086614,60.05905511811023
ground_781_gt.ply,33.79921259842519,44.52755905511812
ground_551_gt.ply,35.295275590551185,54.468503937007874
ground_602_gt.ply,34.56692913385827,54.3503937007874
ground_402_gt.ply,36.14173228346457,49.17322834645669
ground_271_gt.ply,34.50787401574804,56.87007874015748
ground_438_gt.ply,33.62204724409449,48.95669291338583
ground_583_gt.ply,34.488188976377955,46.555118110236215
ground_351_gt.ply,36.476377952755904,49.78346456692914
ground_677_gt.ply,32.53937007874016,43.07086614173228
ground_633_gt.ply,33.91732283464567,44.330708661417326
ground_102_gt.ply,36.00393700787402,55.25590551181102
ground_803_gt.ply,34.60629921259843,46.712598425196845
ground_488_gt.ply,32.814960629921266,46.65354330708662
ground_88_gt.ply,35.688976377952756,49.52755905511811
ground_241_gt.ply,35.019685039370074,56.653543307086615
ground_86_gt.ply,35.43307086614173,59.29133858267717
ground_265_gt.ply,35.57086614173228,50.196850393700785
ground_731_gt.ply,33.01181102362205,49.3503937007874
ground_199_gt.ply,38.14960629921259,59.13385826771653
ground_580_gt.ply,33.28740157480315,47.57874015748031
ground_198_gt.ply,35.295275590551185,53.99606299212599
ground_555_gt.ply,33.346456692913385,53.11023622047244
ground_688_gt.ply,33.62204724409449,48.346456692913385
ground_622_gt.ply,34.645669291338585,54.153543307086615
ground_764_gt.ply,34.56692913385827,49.37007874015748
ground_90_gt.ply,36.16141732283465,54.44881889763779
ground_508_gt.ply,33.56299212598425,48.346456692913385
ground_80_gt.ply,34.50787401574804,47.637795275590555
ground_597_gt.ply,36.79133858267716,55.669291338582674
ground_132_gt.ply,36.39763779527559,52.814960629921245
ground_449_gt.ply,37.362204724409445,52.32283464566929
ground_454_gt.ply,36.9488188976378,53.62204724409448
ground_146_gt.ply,35.07874015748031,52.5
ground_354_gt.ply,35.66929133858268,47.69685039370079
ground_807_gt.ply,31.65354330708661,41.22047244094489
ground_752_gt.ply,35.688976377952756,55.15748031496063
ground_161_gt.ply,36.39763779527559,49.862204724409445
ground_738_gt.ply,32.71653543307087,53.09055118110236
ground_545_gt.ply,34.468503937007874,47.91338582677165
ground_49_gt.ply,35.47244094488189,53.16929133858268
ground_695_gt.ply,34.54724409448819,55.33464566929134
ground_442_gt.ply,36.43700787401575,49.881889763779526
ground_390_gt.ply,37.18503937007874,54.586614173228355
ground_469_gt.ply,37.06692913385827,56.16141732283465
ground_5_gt.ply,35.511811023622045,46.51574803149606
ground_590_gt.ply,33.346456692913385,47.93307086614173
ground_82_gt.ply,35.45275590551181,48.44488188976378
ground_411_gt.ply,32.93307086614174,51.27952755905512
ground_113_gt.ply,35.76771653543307,55.748031496062985
ground_541_gt.ply,34.13385826771653,49.960629921259844
ground_410_gt.ply,37.362204724409445,59.84251968503936
ground_721_gt.ply,33.95669291338583,55.059055118110244
ground_175_gt.ply,35.39370078740157,52.46062992125985
ground_378_gt.ply,37.125984251968504,53.30708661417323
ground_166_gt.ply,37.89370078740158,57.00787401574803
ground_290_gt.ply,33.26771653543308,46.279527559055126
ground_26_gt.ply,37.28346456692913,54.153543307086615
ground_431_gt.ply,36.732283464566926,51.8503937007874
ground_306_gt.ply,35.19685039370078,52.16535433070866
ground_397_gt.ply,35.688976377952756,50.86614173228347
ground_350_gt.ply,36.811023622047244,53.62204724409448
ground_177_gt.ply,32.952755905511815,44.881889763779526
ground_428_gt.ply,35.57086614173228,45.96456692913385
ground_419_gt.ply,33.60236220472441,48.838582677165356
ground_77_gt.ply,36.318897637795274,62.047244094488185
ground_37_gt.ply,38.07086614173228,60.59055118110237
ground_747_gt.ply,34.25196850393701,46.279527559055126
ground_181_gt.ply,36.59448818897638,53.897637795275585
ground_400_gt.ply,36.27952755905512,56.55511811023622
ground_463_gt.ply,36.5748031496063,54.704724409448815
ground_636_gt.ply,34.98031496062992,51.67322834645669
ground_272_gt.ply,31.87007874015748,51.397637795275585
ground_778_gt.ply,34.78346456692913,50.29527559055118
ground_661_gt.ply,34.50787401574804,52.42125984251969
ground_336_gt.ply,35.94488188976378,49.11417322834645
ground_792_gt.ply,35.295275590551185,47.480314960629926
ground_106_gt.ply,36.24015748031496,54.133858267716526
ground_159_gt.ply,34.94094488188976,49.311023622047244
ground_743_gt.ply,34.78346456692913,45.90551181102363
ground_729_gt.ply,35.15748031496063,51.69291338582678
ground_254_gt.ply,35.846456692913385,48.62204724409448
ground_72_gt.ply,36.65354330708661,55.354330708661415
ground_581_gt.ply,33.93700787401575,49.78346456692914
ground_115_gt.ply,36.65354330708661,59.429133858267726
ground_444_gt.ply,37.047244094488185,53.32677165354332
ground_783_gt.ply,35.15748031496063,58.75984251968504
ground_573_gt.ply,35.86614173228347,53.12992125984252
ground_627_gt.ply,34.66535433070867,47.26377952755906
ground_606_gt.ply,33.11023622047244,46.2992125984252
ground_595_gt.ply,34.232283464566926,49.074803149606296
ground_361_gt.ply,36.732283464566926,54.42913385826772
ground_383_gt.ply,37.637795275590555,59.21259842519685
ground_514_gt.ply,33.7007874015748,47.71653543307087
ground_192_gt.ply,35.25590551181102,51.20078740157481
ground_325_gt.ply,35.37401574803149,48.38582677165355
ground_232_gt.ply,36.79133858267716,51.24015748031495
ground_112_gt.ply,35.0,54.901574803149614
ground_217_gt.ply,34.84251968503938,52.618110236220474
ground_659_gt.ply,35.118110236220474,49.153543307086615
ground_492_gt.ply,35.80708661417323,53.14960629921259
ground_186_gt.ply,32.65748031496062,51.41732283464566
ground_147_gt.ply,36.37795275590551,50.05905511811024
ground_48_gt.ply,36.771653543307096,57.04724409448819
ground_257_gt.ply,34.70472440944882,52.047244094488185
ground_685_gt.ply,34.54724409448819,50.55118110236221
ground_779_gt.ply,32.952755905511815,44.29133858267717
ground_503_gt.ply,34.960629921259844,48.48425196850393
ground_714_gt.ply,35.295275590551185,49.625984251968504
ground_118_gt.ply,36.10236220472441,48.36614173228347
ground_256_gt.ply,34.54724409448819,55.88582677165355
ground_53_gt.ply,36.18110236220472,56.5748031496063
ground_392_gt.ply,32.99212598425197,51.20078740157481
ground_768_gt.ply,34.92125984251969,47.125984251968504
ground_780_gt.ply,35.82677165354331,53.95669291338583
ground_637_gt.ply,35.295275590551185,54.42913385826772
ground_592_gt.ply,34.11417322834645,50.88582677165354
ground_512_gt.ply,34.82283464566929,49.862204724409445
ground_17_gt.ply,35.80708661417323,58.64173228346456
ground_733_gt.ply,31.87007874015748,38.326771653543304
ground_794_gt.ply,34.88188976377952,48.661417322834644
ground_548_gt.ply,33.56299212598425,50.96456692913386
ground_332_gt.ply,36.22047244094488,51.53543307086614
ground_423_gt.ply,34.409448818897644,50.70866141732283
ground_153_gt.ply,35.19685039370078,49.7244094488189
ground_136_gt.ply,35.43307086614173,51.63385826771653
ground_379_gt.ply,36.96850393700787,50.9251968503937
ground_619_gt.ply,34.88188976377952,47.91338582677165
ground_391_gt.ply,37.362204724409445,57.26377952755905
ground_537_gt.ply,36.27952755905512,52.125984251968504
ground_344_gt.ply,35.0984251968504,51.98818897637795
ground_359_gt.ply,34.84251968503938,49.19291338582677
ground_471_gt.ply,34.80314960629921,48.52362204724409
ground_519_gt.ply,33.661417322834644,54.76377952755905
ground_560_gt.ply,34.82283464566929,49.5472440944882
ground_553_gt.ply,35.0984251968504,51.397637795275585
ground_382_gt.ply,33.54330708661416,45.49212598425197
ground_510_gt.ply,36.12204724409449,51.61417322834646
ground_481_gt.ply,36.35826771653544,61.14173228346457
ground_427_gt.ply,36.06299212598426,47.893700787401585
ground_66_gt.ply,34.29133858267717,55.80708661417323
ground_788_gt.ply,32.65748031496062,51.61417322834646
ground_719_gt.ply,35.72834645669291,52.814960629921245
ground_329_gt.ply,36.555118110236215,48.011811023622045
ground_808_gt.ply,34.42913385826772,54.330708661417326
ground_45_gt.ply,37.125984251968504,58.83858267716535
ground_399_gt.ply,36.456692913385815,50.47244094488189
ground_801_gt.ply,33.818897637795274,46.023622047244096
ground_100_gt.ply,34.88188976377952,49.56692913385827
ground_50_gt.ply,37.73622047244095,57.972440944881896
ground_318_gt.ply,35.37401574803149,52.618110236220474
ground_805_gt.ply,33.93700787401575,48.7007874015748
ground_404_gt.ply,36.79133858267716,51.41732283464566
ground_500_gt.ply,35.846456692913385,51.811023622047244
ground_243_gt.ply,33.72047244094488,47.16535433070867
ground_724_gt.ply,35.748031496063,53.11023622047244
ground_538_gt.ply,36.79133858267716,55.57086614173229
ground_335_gt.ply,36.96850393700787,58.425196850393704
ground_7_gt.ply,35.41338582677166,46.712598425196845
ground_176_gt.ply,36.20078740157481,53.188976377952756
ground_267_gt.ply,33.740157480314956,48.30708661417324
ground_107_gt.ply,35.66929133858268,52.02755905511811
ground_585_gt.ply,36.87007874015748,56.47637795275591
ground_73_gt.ply,34.94094488188976,50.05905511811024
ground_54_gt.ply,34.35039370078741,50.21653543307087
ground_197_gt.ply,34.488188976377955,50.15748031496064
ground_345_gt.ply,36.12204724409449,51.73228346456693
ground_730_gt.ply,35.70866141732284,51.24015748031495
ground_704_gt.ply,35.590551181102356,51.20078740157481
ground_672_gt.ply,33.54330708661416,47.97244094488189
ground_222_gt.ply,34.11417322834645,48.20866141732283
ground_726_gt.ply,34.27165354330708,46.87007874015748
ground_767_gt.ply,35.49212598425197,49.78346456692914
ground_55_gt.ply,36.00393700787402,50.98425196850393
ground_205_gt.ply,36.082677165354326,51.161417322834644
ground_770_gt.ply,35.0,49.960629921259844
ground_476_gt.ply,37.20472440944882,50.374015748031496
ground_33_gt.ply,35.31496062992125,50.70866141732283
ground_363_gt.ply,34.19291338582677,45.57086614173228
ground_67_gt.ply,35.72834645669291,58.740157480314956
ground_203_gt.ply,33.97637795275591,48.75984251968504
ground_760_gt.ply,35.17716535433071,56.08267716535433
ground_437_gt.ply,35.629921259842526,54.60629921259842
